"Rank","Authors (First author et al.)","Year","Title","Source title (Journal)","DOI","EID","Global Citations (Scopus)","Citations/Year (CPY)"
18,"SEMRAD et al.",2018,"ADVANCING THE 5E'S IN FESTIVAL EXPERIENCE FOR THE GEN Y FRAMEWORK IN THE CONTEXT OF EWOM","JOURNAL OF DESTINATION MARKETING AND MANAGEMENT","10.1016/J.JDMM.2016.08.003","",76,9.5
19,"WEBER et al.",2012,"COMPARATIVE RESEARCH OF MOTIVATIONS ACROSS DIFFERENT FESTIVAL PRODUCTS","INTERNATIONAL JOURNAL OF EVENT AND FESTIVAL MANAGEMENT","10.1108/17582951211210942","",76,5.4286
20,"DING et al.",2021,"THE ANTECEDENTS OF VISITORS' FLOW EXPERIENCE AND ITS INFLUENCE ON MEMORY AND BEHAVIORAL INTENTIONS IN THE MUSIC FESTIVAL CONTEXT","JOURNAL OF DESTINATION MARKETING AND MANAGEMENT","10.1016/J.JDMM.2020.100551","",75,15
21,"KAPCHAN et al.",2008,"THE PROMISE OF SONIC TRANSLATION: PERFORMING THE FESTIVE SACRED IN MOROCCO","AMERICAN ANTHROPOLOGIST","10.1111/J.1548-1433.2008.00079.X","",75,4.1667
22,"GARIBALDI et al.",2018,"CREATING TOURISM EXPERIENCES COMBINING FOOD AND CULTURE: AN ANALYSIS AMONG ITALIAN PRODUCERS","TOURISM REVIEW","10.1108/TR-06-2017-0097","",61,7.625
23,"BÆRENHOLDT et al.",2006,"MOBILE NETWORKS AND PLACE MAKING IN CULTURAL TOURISM. STAGING VIKING SHIPS AND ROCK MUSIC IN ROSKILDE","EUROPEAN URBAN AND REGIONAL STUDIES","10.1177/0969776406065431","",60,3
24,"MATHESON et al.",2008,"MUSIC, EMOTION AND AUTHENTICITY: A STUDY OF CELTIC MUSIC FESTIVAL CONSUMERS","JOURNAL OF TOURISM AND CULTURAL CHANGE","10.1080/14766820802140448","",59,3.2778
25,"HIGGINS-DESBIOLLES et al.",2018,"EVENT TOURISM AND EVENT IMPOSITION: A CRITICAL CASE STUDY FROM KANGAROO ISLAND, SOUTH AUSTRALIA","TOURISM MANAGEMENT","10.1016/J.TOURMAN.2017.08.002","",56,7
26,"LEE et al.",2016,"IMPACT OF GOVERNMENT POLICY AND ENVIRONMENT QUALITY ON VISITOR LOYALTY TO TAIWAN MUSIC FESTIVALS: MODERATING EFFECTS OF REVISIT REASON AND OCCUPATION TYPE","TOURISM MANAGEMENT","10.1016/J.TOURMAN.2015.10.004","",56,5.6
27,"HERRERO et al.",2012,"WHO PAYS MORE FOR A CULTURAL FESTIVAL, TOURISTS OR LOCALS? A CERTAINTY ANALYSIS OF A CONTINGENT VALUATION APPLICATION","INTERNATIONAL JOURNAL OF TOURISM RESEARCH","10.1002/JTR.1860","",53,3.7857
28,"MCCARTHY et al.",2012,"FROM FISHING AND FACTORIES TO CULTURAL TOURISM: THE ROLE OF SOCIAL ENTREPRENEURS IN THE CONSTRUCTION OF A NEW INSTITUTIONAL FIELD","ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT","10.1080/08985626.2012.670916","",50,3.5714
29,"EINARSEN et al.",2009,"EXPLORING THE SUCCESS OF THE GLADMATFESTIVAL (THE STAVANGER FOOD FESTIVAL)","SCANDINAVIAN JOURNAL OF HOSPITALITY AND TOURISM","10.1080/15022250903031550","",49,2.8824
30,"KNOX et al.",2008,"SPECTACULAR TRADITION SCOTTISH FOLKSONG AND AUTHENTICITY","ANNALS OF TOURISM RESEARCH","10.1016/J.ANNALS.2007.07.008","",48,2.6667
31,"JACKSON et al.",2018,"DISCOVERING LIVED EXPERIENCES THROUGH DESCRIPTIVE PHENOMENOLOGY","INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT","10.1108/IJCHM-10-2017-0707","",46,5.75
32,"TKACZYNSKI et al.",2013,"UNDERSTANDING WHAT REALLY MOTIVATES ATTENDANCE: A MUSIC FESTIVAL SEGMENTATION STUDY","JOURNAL OF TRAVEL AND TOURISM MARKETING","10.1080/10548408.2013.810998","",43,3.3077
33,"REGAN et al.",2012,"FACTORS AFFECTING GROUP-ORIENTED TRAVEL INTENTION TO MAJOR EVENTS","JOURNAL OF TRAVEL AND TOURISM MARKETING","10.1080/10548408.2012.648550","",43,3.0714
34,"DUNBAR-HALL et al.",2001,"CULTURE, TOURISM AND CULTURAL TOURISM: BOUNDARIES AND FRONTIERS IN PERFORMANCES OF BALINESE MUSIC AND DANCE","JOURNAL OF INTERCULTURAL STUDIES","10.1080/07256860120069594","",43,1.72
35,"NOOME et al.",2019,"AN ASSESSMENT OF THE CLIMATIC SUITABILITY OF AFRISKI MOUNTAIN RESORT FOR OUTDOOR TOURISM USING THE TOURISM CLIMATE INDEX (TCI)","JOURNAL OF MOUNTAIN SCIENCE","10.1007/S11629-019-5725-Z","",42,6
36,"LASHUA et al.",2014,"POPULAR MUSIC, PSYCHOGEOGRAPHY, PLACE IDENTITY AND TOURISM: THE CASE OF SHEFFIELD","TOURIST STUDIES","10.1177/1468797613511685","",42,3.5
37,"ZIFKOS et al.",2015,"SUSTAINABILITY EVERYWHERE: PROBLEMATISING THE “SUSTAINABLE FESTIVAL” PHENOMENON","TOURISM PLANNING AND DEVELOPMENT","10.1080/21568316.2014.960600","",41,3.7273
38,"KAY et al.",2022,"THE CHANGING NATURE OF THE CULTURAL TOURIST: MOTIVATIONS, PROFILES AND EXPERIENCES OF CULTURAL TOURISTS IN BUDAPEST","JOURNAL OF TOURISM AND CULTURAL CHANGE","10.1080/14766825.2021.1898626","",40,10
39,"SIMEON et al.",2011,"CULTURAL EVENT AS A TERRITORIAL MARKETING TOOL: THE CASE OF THE RAVELLO FESTIVAL ON THE ITALIAN AMALFI COAST","JOURNAL OF HOSPITALITY MARKETING AND MANAGEMENT","10.1080/19368623.2011.562425","",40,2.6667
40,"KRUGER et al.",2017,"SEGMENTING BEYOND BEHAVIOURAL INTENTIONS: FINE TUNING MUSIC FESTIVAL VISITORS’ MUSIC APPRECIATION","INTERNATIONAL JOURNAL OF EVENT AND FESTIVAL MANAGEMENT","10.1108/IJEFM-09-2016-0064","",38,4.2222
